id,school_id,constituent_id,staff_id,campaign_id,fund_id,status,expected_ask_amount,ask_amount,accepted_amount,expected_ask_date,ask_date,response_date,closed_at,close_reason,likelihood_band,notes
17,1,5649,2,8,7,closed_won,10000.00,10000.00,10000.00,2025-02-15,2025-03-01,2025-03-14,2025-03-20,Funded,high,Makerspace campaign gift completed.
18,1,12173,3,6,13,qualifying,50000.00,,,2027-01-15,,,,,medium,Athletics affinity and recent event participation prompted qualification.
19,1,17893,5,7,19,identified,25000.00,,,2027-03-18,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
20,1,3035,1,13,1,committed,10000.00,10000.00,10000.00,2025-10-26,2025-11-18,2025-12-04,,,committed,A commitment has been received and payment remains in progress.
21,1,16878,5,7,8,qualifying,25000.00,,,2027-01-21,,,,,low,Qualification is underway before a personal solicitation is considered.
22,1,5286,5,15,2,closed_won,10000.00,10000.00,10000.00,2023-10-20,2023-11-29,2023-12-16,2023-12-21,,high,The opportunity closed with a funded commitment.
23,1,10239,5,2,3,cultivating,50000.00,,,2027-01-31,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
24,1,4804,4,2,15,cultivating,50000.00,,,2027-06-25,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
25,1,16125,1,2,1,soliciting,25000.00,25000.00,,2026-07-11,2026-07-29,,,,medium,A proposal has been presented and remains in follow-up.
26,1,2189,5,3,2,qualifying,10000.00,,,2026-10-12,,,,,low,Qualification is underway before a personal solicitation is considered.
27,1,11164,1,2,2,soliciting,25000.00,25000.00,,2026-05-25,2026-07-15,,,,high,A proposal has been presented and remains in follow-up.
28,1,4399,1,11,11,closed_won,50000.00,50000.00,50000.00,2025-03-11,2025-04-12,2025-04-25,2025-04-26,,high,The opportunity closed with a funded commitment.
29,1,5294,5,15,2,closed_lost,50000.00,50000.00,,2023-11-21,2024-01-19,2024-02-02,2024-02-02,Other philanthropic priorities,low,The opportunity closed without a gift in this cycle.
30,1,4817,5,7,10,cultivating,10000.00,,,2027-01-18,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
31,1,16346,1,2,4,qualifying,10000.00,,,2026-12-17,,,,,low,Qualification is underway before a personal solicitation is considered.
32,1,14981,1,2,4,qualifying,10000.00,,,2026-11-30,,,,,low,Qualification is underway before a personal solicitation is considered.
33,1,13214,5,2,2,qualifying,25000.00,,,2027-01-15,,,,,low,Qualification is underway before a personal solicitation is considered.
34,1,11129,1,3,18,qualifying,10000.00,,,2026-10-11,,,,,low,Qualification is underway before a personal solicitation is considered.
35,1,1033,5,2,15,soliciting,50000.00,50000.00,,2026-06-05,2026-08-04,,,,high,A proposal has been presented and remains in follow-up.
36,1,12789,1,7,10,qualifying,50000.00,,,2027-05-11,,,,,low,Qualification is underway before a personal solicitation is considered.
37,1,7841,5,2,1,qualifying,25000.00,,,2027-04-21,,,,,low,Qualification is underway before a personal solicitation is considered.
38,1,14521,1,3,1,cultivating,10000.00,,,2026-09-24,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
39,1,170,5,2,5,qualifying,100000.00,,,2027-03-13,,,,,low,Qualification is underway before a personal solicitation is considered.
40,1,2643,1,11,11,closed_lost,10000.00,10000.00,,2024-12-03,2025-01-29,2025-03-02,2025-03-06,Unable to reach agreement,low,The opportunity closed without a gift in this cycle.
41,1,8888,5,11,11,closed_won,10000.00,10000.00,10000.00,2024-11-25,2025-01-15,2025-02-18,2025-02-26,,high,The opportunity closed with a funded commitment.
42,1,13176,1,11,11,committed,50000.00,50000.00,50000.00,2024-12-16,2025-01-29,2025-02-20,,,committed,A commitment has been received and payment remains in progress.
43,1,13633,5,7,8,soliciting,25000.00,25000.00,,2026-05-24,2026-07-18,,,,medium,A proposal has been presented and remains in follow-up.
44,1,16688,4,11,11,committed,10000.00,10000.00,5000.00,2024-12-29,2025-01-26,2025-02-13,,,committed,A commitment has been received and payment remains in progress.
45,1,16025,2,2,4,identified,25000.00,,,2026-11-23,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
46,1,13310,5,15,2,closed_won,25000.00,25000.00,25000.00,2024-01-28,2024-03-16,2024-04-20,2024-04-26,,high,The opportunity closed with a funded commitment.
47,1,17296,1,15,2,closed_lost,250000.00,250000.00,,2023-09-01,2023-10-20,2023-11-20,2023-11-23,Other philanthropic priorities,low,The opportunity closed without a gift in this cycle. The larger-than-history ask is an intentional stretch supported by trustee service.
48,1,15935,1,2,5,cultivating,10000.00,,,2027-05-08,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
49,1,7533,4,7,10,closed_lost,50000.00,50000.00,,2025-06-11,2025-07-19,2025-07-28,2025-08-06,Timing was not right,low,The opportunity closed without a gift in this cycle.
50,1,5356,3,2,15,identified,10000.00,,,2026-11-14,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
51,1,11458,1,2,15,identified,50000.00,,,2026-11-18,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
52,1,9046,1,2,4,soliciting,10000.00,10000.00,,2026-06-30,2026-07-25,,,,medium,A proposal has been presented and remains in follow-up.
53,1,9603,3,13,1,closed_won,10000.00,10000.00,10000.00,2025-12-10,2025-12-26,2026-01-18,2026-01-20,,high,The opportunity closed with a funded commitment.
54,1,17937,5,2,2,identified,25000.00,,,2027-05-31,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
55,1,14741,5,3,1,cultivating,50000.00,,,2026-09-30,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
56,1,16598,5,2,5,soliciting,10000.00,10000.00,,2026-06-04,2026-07-10,,,,medium,A proposal has been presented and remains in follow-up.
57,1,2678,3,2,2,qualifying,50000.00,,,2026-10-04,,,,,low,Qualification is underway before a personal solicitation is considered.
58,1,4201,4,7,10,qualifying,25000.00,,,2026-10-14,,,,,low,Qualification is underway before a personal solicitation is considered.
59,1,12319,5,7,19,soliciting,10000.00,10000.00,,2026-05-23,2026-06-19,,,,high,A proposal has been presented and remains in follow-up.
60,1,10806,1,7,6,soliciting,250000.00,250000.00,,2026-05-09,2026-07-04,,,,high,A proposal has been presented and remains in follow-up.
61,1,247,1,3,2,cultivating,50000.00,,,2026-09-19,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
62,1,8195,2,2,5,soliciting,10000.00,10000.00,,2026-05-04,2026-07-13,,,,medium,A proposal has been presented and remains in follow-up.
63,1,902,5,7,8,closed_won,10000.00,10000.00,5000.00,2026-01-12,2026-02-04,2026-02-24,2026-02-27,,high,The opportunity closed with a funded commitment.
64,1,15868,1,3,1,cultivating,25000.00,,,2026-09-19,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
65,1,2690,4,15,2,closed_won,10000.00,10000.00,5000.00,2023-11-21,2023-12-26,2024-01-16,2024-01-18,,high,The opportunity closed with a funded commitment.
66,1,15677,5,7,8,cultivating,25000.00,,,2027-02-19,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
67,1,6768,3,7,8,cultivating,25000.00,,,2027-06-08,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
68,1,13729,1,7,7,cultivating,10000.00,,,2027-05-02,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
69,1,16066,4,2,5,soliciting,50000.00,50000.00,,2026-06-04,2026-07-15,,,,high,A proposal has been presented and remains in follow-up.
70,1,5048,1,7,6,committed,10000.00,10000.00,5000.00,2025-06-18,2025-08-12,2025-09-05,,,committed,A commitment has been received and payment remains in progress.
71,1,4443,5,7,7,soliciting,50000.00,50000.00,,2026-05-16,2026-07-06,,,,medium,A proposal has been presented and remains in follow-up.
72,1,10768,1,2,18,cultivating,50000.00,,,2027-02-20,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
73,1,5037,1,2,4,soliciting,10000.00,10000.00,,2026-06-24,2026-07-20,,,,medium,A proposal has been presented and remains in follow-up.
74,1,7584,2,2,15,cultivating,10000.00,,,2026-12-11,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
75,1,637,1,13,1,closed_won,25000.00,25000.00,25000.00,2025-10-27,2025-12-23,2026-01-16,2026-01-21,,high,The opportunity closed with a funded commitment.
76,1,18292,1,3,3,cultivating,10000.00,,,2026-09-18,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
77,1,6533,5,11,11,closed_won,50000.00,50000.00,25000.00,2025-03-18,2025-04-18,2025-05-02,2025-05-08,,high,The opportunity closed with a funded commitment.
78,1,3755,1,7,10,identified,10000.00,,,2027-02-22,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
79,1,5349,1,3,15,cultivating,50000.00,,,2026-09-17,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
80,1,5058,5,2,2,identified,250000.00,,,2026-12-08,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
81,1,10661,1,7,10,cultivating,10000.00,,,2027-03-30,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
82,1,9748,1,13,2,closed_lost,10000.00,10000.00,,2025-11-16,2025-12-28,2026-01-08,2026-01-18,Unable to reach agreement,low,The opportunity closed without a gift in this cycle.
83,1,6743,1,7,10,cultivating,25000.00,,,2027-01-26,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
84,1,17348,3,2,4,identified,25000.00,,,2026-10-24,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
85,1,16868,1,12,18,closed_won,50000.00,50000.00,25000.00,2025-09-18,2025-10-08,2025-10-24,2025-10-30,,high,The opportunity closed with a funded commitment.
86,1,3403,2,12,3,committed,10000.00,10000.00,10000.00,2025-08-21,2025-09-23,2025-10-23,,,committed,A commitment has been received and payment remains in progress.
87,1,5933,1,7,19,identified,25000.00,,,2026-12-28,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
88,1,13745,1,12,3,committed,25000.00,25000.00,25000.00,2025-09-05,2025-09-19,2025-10-03,,,committed,A commitment has been received and payment remains in progress.
89,1,8444,1,7,19,cultivating,10000.00,,,2026-11-29,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
90,1,13353,5,7,7,soliciting,25000.00,25000.00,,2026-03-15,2026-05-23,,,,medium,A proposal has been presented and remains in follow-up.
91,1,3250,5,7,7,cultivating,10000.00,,,2027-05-05,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
92,1,9673,1,7,19,soliciting,50000.00,50000.00,,2026-01-13,2026-03-14,,,,medium,A proposal has been presented and remains in follow-up.
93,1,8202,1,3,2,cultivating,25000.00,,,2026-10-08,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
94,1,5099,1,7,10,cultivating,10000.00,,,2027-04-19,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
95,1,14804,4,15,2,committed,25000.00,25000.00,25000.00,2024-03-01,2024-03-25,2024-04-29,,,committed,A commitment has been received and payment remains in progress.
96,1,6173,3,3,1,identified,25000.00,,,2026-09-20,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
97,1,15008,5,3,5,identified,25000.00,,,2026-10-10,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
98,1,3722,2,7,7,committed,50000.00,50000.00,25000.00,2026-04-18,2026-05-05,2026-05-24,,,committed,A commitment has been received and payment remains in progress.
99,1,17842,5,2,4,identified,10000.00,,,2026-12-01,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
100,1,12193,2,2,18,qualifying,10000.00,,,2027-02-21,,,,,low,Qualification is underway before a personal solicitation is considered.
101,1,16718,1,7,6,soliciting,10000.00,10000.00,,2026-04-01,2026-04-19,,,,medium,A proposal has been presented and remains in follow-up.
102,1,11768,1,2,18,soliciting,10000.00,10000.00,,2026-05-26,2026-07-15,,,,high,A proposal has been presented and remains in follow-up.
103,1,15937,1,15,1,closed_won,25000.00,25000.00,25000.00,2024-02-21,2024-04-17,2024-05-03,2024-05-06,,high,The opportunity closed with a funded commitment.
104,1,19866,5,12,3,closed_won,10000.00,10000.00,10000.00,2025-09-05,2025-10-01,2025-10-13,2025-10-22,,high,The opportunity closed with a funded commitment.
105,1,15349,1,2,2,soliciting,25000.00,25000.00,,2026-05-18,2026-07-31,,,,high,A proposal has been presented and remains in follow-up.
106,1,14753,4,7,8,committed,50000.00,50000.00,50000.00,2025-10-15,2025-11-08,2025-12-10,,,committed,A commitment has been received and payment remains in progress.
107,1,9288,5,13,1,closed_won,10000.00,10000.00,10000.00,2025-11-17,2025-12-28,2026-01-21,2026-01-23,,high,The opportunity closed with a funded commitment.
108,1,16264,1,3,5,qualifying,10000.00,,,2026-09-19,,,,,low,Qualification is underway before a personal solicitation is considered.
109,1,3479,1,11,11,closed_lost,50000.00,50000.00,,2025-02-19,2025-03-31,2025-04-27,2025-04-30,Unable to reach agreement,low,The opportunity closed without a gift in this cycle.
110,1,18838,4,3,3,cultivating,50000.00,,,2026-10-01,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
111,1,12284,3,13,1,closed_lost,10000.00,10000.00,,2025-10-17,2025-11-16,2025-12-19,2025-12-20,Unable to reach agreement,low,The opportunity closed without a gift in this cycle.
112,1,19676,2,3,18,cultivating,10000.00,,,2026-10-01,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
113,1,10875,1,7,7,qualifying,50000.00,,,2026-11-27,,,,,low,Qualification is underway before a personal solicitation is considered.
114,1,8608,1,2,3,soliciting,10000.00,10000.00,,2026-06-19,2026-07-21,,,,high,A proposal has been presented and remains in follow-up.
115,1,7097,1,2,17,qualifying,10000.00,,,2027-05-01,,,,,low,Qualification is underway before a personal solicitation is considered.
116,1,18592,5,7,6,soliciting,25000.00,25000.00,,2026-05-04,2026-06-23,,,,high,A proposal has been presented and remains in follow-up.
117,1,2554,5,7,8,cultivating,50000.00,,,2026-11-13,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
118,1,16010,1,2,15,cultivating,50000.00,,,2026-12-25,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
119,1,11854,2,3,15,qualifying,10000.00,,,2026-10-11,,,,,low,Qualification is underway before a personal solicitation is considered.
120,1,2059,1,2,15,soliciting,10000.00,10000.00,,2026-06-25,2026-07-27,,,,medium,A proposal has been presented and remains in follow-up.
121,1,7018,1,11,11,closed_lost,50000.00,50000.00,,2025-02-09,2025-03-26,2025-04-22,2025-04-23,Timing was not right,low,The opportunity closed without a gift in this cycle.
122,1,12022,5,7,7,committed,10000.00,10000.00,10000.00,2026-03-11,2026-04-27,2026-06-01,,,committed,A commitment has been received and payment remains in progress.
123,1,8548,5,2,1,qualifying,25000.00,,,2027-02-21,,,,,low,Qualification is underway before a personal solicitation is considered.
124,1,10647,5,11,11,committed,50000.00,50000.00,25000.00,2025-03-29,2025-04-21,2025-05-05,,,committed,A commitment has been received and payment remains in progress.
125,1,9314,4,11,11,closed_won,50000.00,50000.00,50000.00,2025-03-11,2025-04-08,2025-05-01,2025-05-04,,high,The opportunity closed with a funded commitment.
126,1,6128,1,2,4,soliciting,25000.00,25000.00,,2026-06-24,2026-07-28,,,,high,A proposal has been presented and remains in follow-up.
127,1,18137,4,7,8,closed_won,25000.00,25000.00,25000.00,2025-11-23,2025-12-31,2026-01-29,2026-01-29,,high,The opportunity closed with a funded commitment.
128,1,13252,1,7,19,cultivating,10000.00,,,2026-10-17,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
129,1,14080,5,7,8,cultivating,25000.00,,,2027-06-01,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
130,1,1252,4,2,1,qualifying,25000.00,,,2027-01-21,,,,,low,Qualification is underway before a personal solicitation is considered.
131,1,6890,1,7,7,closed_won,250000.00,250000.00,250000.00,2025-08-11,2025-09-03,2025-09-18,2025-09-28,,high,The opportunity closed with a funded commitment.
132,1,17080,1,7,19,cultivating,10000.00,,,2027-04-07,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
133,1,17441,5,2,18,soliciting,50000.00,50000.00,,2026-06-07,2026-07-25,,,,high,A proposal has been presented and remains in follow-up.
134,1,12668,4,3,4,cultivating,25000.00,,,2026-10-05,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
135,1,264,5,6,12,qualifying,50000.00,,,2026-10-02,,,,,low,Qualification is underway before a personal solicitation is considered.
136,1,14279,1,7,10,soliciting,25000.00,25000.00,,2026-03-13,2026-05-11,,,,high,A proposal has been presented and remains in follow-up.
137,1,17668,1,7,8,closed_lost,25000.00,25000.00,,2025-10-16,2025-11-01,2025-11-18,2025-11-22,Other philanthropic priorities,low,The opportunity closed without a gift in this cycle.
138,1,7358,4,2,17,cultivating,25000.00,,,2027-05-18,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
139,1,2608,4,7,19,qualifying,250000.00,,,2027-02-21,,,,,low,Qualification is underway before a personal solicitation is considered.
140,1,5659,1,15,1,committed,50000.00,50000.00,50000.00,2024-01-16,2024-02-02,2024-02-27,,,committed,A commitment has been received and payment remains in progress.
141,1,8116,5,2,3,soliciting,10000.00,10000.00,,2026-05-13,2026-07-15,,,,high,A proposal has been presented and remains in follow-up.
142,1,3441,1,2,18,cultivating,75000.00,,,2027-06-12,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
143,1,2575,1,2,3,cultivating,25000.00,,,2026-12-23,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
144,1,14876,1,15,2,closed_lost,50000.00,50000.00,,2024-05-05,2024-05-29,2024-06-25,2024-06-25,Unable to reach agreement,low,The opportunity closed without a gift in this cycle.
145,1,12081,2,2,2,qualifying,10000.00,,,2027-06-10,,,,,low,Qualification is underway before a personal solicitation is considered.
146,1,1534,1,7,7,identified,10000.00,,,2026-12-11,,,,,low,"Prospect identified through giving, affiliation, or engagement history."
147,1,14855,5,7,10,qualifying,25000.00,,,2026-11-10,,,,,low,Qualification is underway before a personal solicitation is considered.
148,1,2475,2,3,2,qualifying,10000.00,,,2026-09-30,,,,,low,Qualification is underway before a personal solicitation is considered.
149,1,9136,5,7,8,soliciting,25000.00,25000.00,,2025-12-21,2026-02-28,,,,medium,A proposal has been presented and remains in follow-up.
150,1,18993,1,7,6,soliciting,50000.00,50000.00,,2026-01-16,2026-03-04,,,,high,A proposal has been presented and remains in follow-up.
151,1,8710,1,2,4,cultivating,50000.00,,,2027-02-12,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
152,1,1280,1,7,10,cultivating,25000.00,,,2027-01-01,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
153,1,13396,1,7,10,soliciting,25000.00,25000.00,,2025-12-12,2026-02-19,,,,high,A proposal has been presented and remains in follow-up.
154,1,2320,4,2,2,soliciting,25000.00,25000.00,,2026-05-24,2026-07-22,,,,high,A proposal has been presented and remains in follow-up.
155,1,18685,5,15,1,closed_lost,10000.00,10000.00,,2024-01-01,2024-02-11,2024-03-11,2024-03-21,Unable to reach agreement,low,The opportunity closed without a gift in this cycle.
156,1,15829,5,7,6,qualifying,25000.00,,,2027-06-03,,,,,low,Qualification is underway before a personal solicitation is considered.
157,1,6508,1,7,6,cultivating,10000.00,,,2026-12-13,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
158,1,13134,1,2,15,soliciting,10000.00,10000.00,,2026-06-26,2026-07-13,,,,high,A proposal has been presented and remains in follow-up.
159,1,8797,5,3,4,cultivating,25000.00,,,2026-10-02,,,,,medium,The relationship is being cultivated around the selected fund and campaign.
160,1,12455,1,7,6,qualifying,10000.00,,,2027-03-15,,,,,low,Qualification is underway before a personal solicitation is considered.
